Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
fp,fp_9_trace,143.53112411499023,Pass,287.3504238128662,40000016,16707684,2.3941,5012816,182074,0.3000,0.0109,3.6322%,4.5518,11928295,65.5134,298.2073,20000016,8027245,2.4915,2500178,98187,0.3115,0.0122,3.9272%,4.9093,5724562,58.3026,286.2279
fp,fp_1_trace,42.69381523132324,Pass,150.8121268749237,30000052,30423720,0.9861,5950800,467449,0.1956,0.0154,7.8552%,15.5816,26721438,57.1644,890.7131,15000052,15229086,0.9850,2965791,234752,0.1947,0.0154,7.9153%,15.6501,13387849,57.0298,892.5202
fp,fp_3_trace,223.02585411071777,Pass,237.05720400810242,30000052,12794203,2.3448,1539997,60945,0.1204,0.0048,3.9575%,2.0315,6715360,110.1872,223.8449,15000052,6386530,2.3487,770204,31215,0.1206,0.0049,4.0528%,2.0810,3393313,108.7078,226.2201
fp,fp_7_trace,159.0718936920166,Pass,294.86151695251465,40000016,7881807,5.0750,4716883,45110,0.5985,0.0057,0.9564%,1.1277,1932342,42.8362,48.3085,20000016,3719888,5.3765,2394520,19320,0.6437,0.0052,0.8068%,0.9660,828152,42.8650,41.4076
fp,fp_10_trace,270.7881956100464,Pass,339.92026233673096,40000016,6906521,5.7916,3492402,84696,0.5057,0.0123,2.4252%,2.1174,1849833,21.8409,46.2458,20000016,3394268,5.8923,1748758,40644,0.5152,0.0120,2.3242%,2.0322,890206,21.9025,44.5103
fp,fp_4_trace,106.30326175689697,Pass,203.2728726863861,30000052,6539941,4.5872,2573337,17207,0.3935,0.0026,0.6687%,0.5736,1010474,58.7246,33.6824,15000052,2608089,5.7514,1285217,6594,0.4928,0.0025,0.5131%,0.4396,284058,43.0783,18.9371
fp,fp_13_trace,84.63656806945801,Pass,217.43730998039246,40000016,15292133,2.6157,6454282,507592,0.4221,0.0332,7.8644%,12.6898,10787794,21.2529,269.6947,20000016,7507852,2.6639,3233671,254350,0.4307,0.0339,7.8657%,12.7175,5311866,20.8841,265.5931
fp,fp_11_trace,297.7953281402588,Pass,345.4149327278137,40000016,7618526,5.2504,3526510,27956,0.4629,0.0037,0.7927%,0.6989,614319,21.9745,15.3580,20000016,3681981,5.4319,1776440,13741,0.4825,0.0037,0.7735%,0.6870,296226,21.5578,14.8113
fp,fp_0_trace,64.73471260070801,Pass,150.4566833972931,30000052,6806762,4.4074,1619852,96811,0.2380,0.0142,5.9765%,3.2270,3032354,31.3224,101.0783,15000052,3429530,4.3738,807780,49711,0.2355,0.0145,6.1540%,3.3141,1554459,31.2699,103.6302
fp,fp_2_trace,113.98153591156006,Pass,222.96894359588623,30000052,6215210,4.8269,2471756,76844,0.3977,0.0124,3.1089%,2.5615,2698134,35.1118,89.9376,15000052,3067702,4.8897,1232306,39203,0.4017,0.0128,3.1813%,2.6135,1356681,34.6066,90.4451
fp,fp_8_trace,211.10272789001465,Pass,293.97831559181213,40000016,13212988,3.0273,2322129,314952,0.1757,0.0238,13.5631%,7.8738,7166962,22.7557,179.1740,20000016,7384504,2.7084,1347173,222234,0.1824,0.0301,16.4963%,11.1117,4993058,22.4676,249.6527
fp,fp_6_trace,63.58891201019287,Pass,241.75694036483765,40000016,5845956,6.8423,7034423,40772,1.2033,0.0070,0.5796%,1.0193,1515942,37.1810,37.8985,20000016,2836989,7.0497,3515104,19022,1.2390,0.0067,0.5412%,0.9511,711332,37.3952,35.5666
fp,fp_5_trace,332.9483413696289,Pass,354.87266302108765,40000016,7567836,5.2855,740391,37456,0.0978,0.0049,5.0589%,0.9364,1283297,34.2615,32.0824,20000016,3749190,5.3345,370890,18645,0.0989,0.0050,5.0271%,0.9322,641183,34.3890,32.0591
fp,fp_12_trace,48.495734214782715,Pass,247.68719696998596,40000016,8115976,4.9286,4420257,48627,0.5446,0.0060,1.1001%,1.2157,3007701,61.8525,75.1925,20000016,3937453,5.0794,2222665,21585,0.5645,0.0055,0.9711%,1.0792,1342231,62.1835,67.1115
media,media_0_trace,111.51635646820068,Pass,119.99823260307312,20000044,3383121,5.9117,1125035,23528,0.3325,0.0070,2.0913%,1.1764,614652,26.1243,30.7325,10000044,1491662,6.7040,559613,9001,0.3752,0.0060,1.6084%,0.9001,242518,26.9435,24.2517
media,media_1_trace,93.95407485961914,Pass,115.65289640426636,20000048,3579648,5.5872,1052168,23180,0.2939,0.0065,2.2031%,1.1590,617207,26.6267,30.8603,10000048,1554623,6.4325,496668,7146,0.3195,0.0046,1.4388%,0.7146,202680,28.3627,20.2679
media,media_3_trace,113.6968765258789,Pass,118.98102712631226,20000046,3523269,5.6766,1130407,27626,0.3208,0.0078,2.4439%,1.3813,727323,26.3275,36.3661,10000046,1594607,6.2712,568763,12117,0.3567,0.0076,2.1304%,1.2117,329939,27.2294,32.9937
media,media_2_trace,114.14013576507568,Pass,143.80024123191833,20000038,3105888,6.4394,682290,10635,0.2197,0.0034,1.5587%,0.5317,597549,56.1870,29.8774,10000038,1662720,6.0143,342782,7329,0.2062,0.0044,2.1381%,0.7329,392566,53.5634,39.2565
web,web_16_trace,61.720746994018555,Pass,120.72916626930237,20000052,10030330,1.9940,1486259,37076,0.1482,0.0037,2.4946%,1.8538,1323964,35.7095,66.1980,10000052,6979080,1.4329,732871,25998,0.1050,0.0037,3.5474%,2.5998,915041,35.1966,91.5036
web,web_15_trace,61.94837951660156,Pass,80.15154433250427,14999858,8167856,1.8364,2411251,91387,0.2952,0.0112,3.7900%,6.0925,2600339,28.4541,173.3576,7999858,3406979,2.3481,1229867,43850,0.3610,0.0129,3.5654%,5.4813,1097457,25.0275,137.1846
web,web_7_trace,41.589111328125,Pass,163.808420419693,39999850,10449578,3.8279,6633962,310102,0.6349,0.0297,4.6745%,7.7526,5723701,18.4575,143.0931,20999850,5033973,4.1716,3471337,147583,0.6896,0.0293,4.2515%,7.0278,2531405,17.1524,120.5440
web,web_14_trace,235.48800468444824,Pass,404.9869990348816,70000043,19825074,3.5309,11059737,256389,0.5579,0.0129,2.3182%,3.6627,10712547,41.7824,153.0363,35000043,8556339,4.0905,5268168,99962,0.6157,0.0117,1.8975%,2.8561,4204169,42.0577,120.1190
web,web_23_trace,60.17267894744873,Pass,112.14505529403687,20000047,6339599,3.1548,3286069,23079,0.5183,0.0036,0.7023%,1.1539,811106,35.1448,40.5552,10000047,4616351,2.1662,1544231,17933,0.3345,0.0039,1.1613%,1.7933,616147,34.3583,61.6144
web,web_4_trace,107.63480854034424,Pass,234.36761736869812,39999718,13540239,2.9541,6265226,184167,0.4627,0.0136,2.9395%,4.6042,5280857,28.6743,132.0224,20999718,6424862,3.2685,3426349,86110,0.5333,0.0134,2.5132%,4.1005,2319928,26.9414,110.4742
web,web_17_trace,54.710463523864746,Pass,79.53280568122864,15000021,6203005,2.4182,2215426,25901,0.3572,0.0042,1.1691%,1.7267,1000783,38.6388,66.7188,8000021,2301504,3.4760,1069158,5985,0.4645,0.0026,0.5598%,0.7481,194531,32.5031,24.3163
web,web_10_trace,67.32332420349121,Pass,110.14656710624695,19999796,11254432,1.7771,2621960,67319,0.2330,0.0060,2.5675%,3.3660,2049367,30.4426,102.4694,10999796,3361366,3.2724,1436395,28273,0.4273,0.0084,1.9683%,2.5703,747489,26.4383,67.9548
web,web_19_trace,46.80075454711914,Pass,81.9821412563324,15000016,9711337,1.5446,2562002,90458,0.2638,0.0093,3.5308%,6.0305,2654605,29.3463,176.9735,8000016,4481134,1.7853,1380363,60348,0.3080,0.0135,4.3719%,7.5435,1398479,23.1736,174.8095
web,web_2_trace,126.7424545288086,Pass,236.70642137527466,39999746,12320363,3.2466,5842811,176096,0.4742,0.0143,3.0139%,4.4024,4716180,26.7819,117.9052,20999746,6068761,3.4603,3176039,100914,0.5233,0.0166,3.1774%,4.8055,2820039,27.9450,134.2892
web,web_3_trace,134.2002592086792,Pass,219.69585275650024,39999981,12404733,3.2246,6018442,164036,0.4852,0.0132,2.7256%,4.1009,4737075,28.8783,118.4269,20999981,5678143,3.6984,3382696,75209,0.5957,0.0132,2.2233%,3.5814,2529583,33.6340,120.4564
web,web_11_trace,43.46553611755371,Pass,56.95205783843994,10001443,11682188,0.8561,1391369,57732,0.1191,0.0049,4.1493%,5.7724,2199241,38.0940,219.8924,5001443,5155073,0.9702,674449,29860,0.1308,0.0058,4.4273%,5.9703,1035982,34.6946,207.1366
web,web_21_trace,37.0328950881958,Pass,79.04287552833557,15000054,5979248,2.5087,2614946,25911,0.4373,0.0043,0.9909%,1.7274,2102073,81.1267,140.1377,8000054,4785447,1.6717,1411368,20846,0.2949,0.0044,1.4770%,2.6057,1909845,91.6169,238.7290
