Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
int,int_33_trace,310.41816425323486,Pass,512.9727356433868,110000052,54261997,2.0272,16062450,882883,0.2960,0.0163,5.4966%,8.0262,42590191,48.2399,387.1834,55000052,26280002,2.0928,7710997,451493,0.2934,0.0172,5.8552%,8.2090,20580142,45.5824,374.1840
int,int_22_trace,96.68442058563232,Pass,260.66816902160645,40000052,23128965,1.7294,6671960,215859,0.2885,0.0093,3.2353%,5.3965,15759085,73.0064,393.9766,20000052,11435064,1.7490,3314359,108124,0.2898,0.0095,3.2623%,5.4062,7791228,72.0583,389.5604
int,int_27_trace,219.70562553405762,Pass,221.5831422805786,40000052,6377210,6.2723,1891315,35156,0.2966,0.0055,1.8588%,0.8789,1151350,32.7497,28.7837,20000052,2955908,6.7661,940632,14979,0.3182,0.0051,1.5924%,0.7489,510209,34.0616,25.5104
int,int_0_trace,137.11144542694092,Pass,193.0265872478485,40000041,14701131,2.7209,6223265,205309,0.4233,0.0140,3.2991%,5.1327,10015750,48.7838,250.3935,20000041,6524639,3.0653,3076555,100309,0.4715,0.0154,3.2604%,5.0154,4294649,42.8142,214.7320
int,int_31_trace,118.0513105392456,Pass,199.3477954864502,40000052,4697945,8.5144,4773947,33645,1.0162,0.0072,0.7048%,0.8411,645702,19.1916,16.1425,20000052,2233916,8.9529,2359187,12716,1.0561,0.0057,0.5390%,0.6358,245072,19.2727,12.2536
int,int_12_trace,204.59925079345703,Pass,389.83284640312195,59999603,18454516,3.2512,6357220,27398,0.3445,0.0015,0.4310%,0.4566,1026482,37.4656,17.1081,30999603,4969473,6.2380,4522132,26172,0.9100,0.0053,0.5788%,0.8443,944903,36.1036,30.4811
int,int_6_trace,130.25432968139648,Pass,189.1271629333496,30000052,7614002,3.9401,3119970,88751,0.4098,0.0117,2.8446%,2.9584,3927712,44.2554,130.9235,15000052,3754171,3.9956,1567043,43259,0.4174,0.0115,2.7605%,2.8839,1942299,44.8993,129.4862
int,int_35_trace,119.88736820220947,Pass,193.18923497200012,40000048,11492319,3.4806,5671843,98866,0.4935,0.0086,1.7431%,2.4716,5298092,53.5886,132.4521,20000048,5539933,3.6102,2842811,46768,0.5131,0.0084,1.6451%,2.3384,2488554,53.2106,124.4274
int,int_14_trace,177.29002475738525,Pass,216.81232690811157,39999640,6990422,5.7221,7635435,15865,1.0923,0.0023,0.2078%,0.3966,403223,25.4159,10.0807,20999640,3398714,6.1787,3974167,6804,1.1693,0.0020,0.1712%,0.3240,155764,22.8930,7.4175
int,int_2_trace,94.08823490142822,Pass,163.7977738380432,30000052,18093712,1.6580,5366311,280642,0.2966,0.0155,5.2297%,9.3547,14193245,50.5742,473.1073,15000052,8437874,1.7777,2681980,138206,0.3179,0.0164,5.1531%,9.2137,6512873,47.1244,434.1900
int,int_21_trace,91.63193035125732,Pass,205.34749937057495,40000052,46523908,0.8598,9059172,972073,0.1947,0.0209,10.7303%,24.3018,41649953,42.8465,1041.2475,20000052,22934233,0.8721,4504449,501496,0.1964,0.0219,11.1333%,25.0747,20466429,40.8108,1023.3188
int,int_32_trace,317.2076416015625,Pass,524.9560911655426,110000052,86305978,1.2745,12636052,765057,0.1464,0.0089,6.0546%,6.9551,74230805,97.0265,674.8252,55000052,37976425,1.4483,6322521,377771,0.1665,0.0099,5.9750%,6.8686,32008519,84.7300,581.9725
int,int_26_trace,197.17267227172852,Pass,213.5586543083191,40000052,6822955,5.8626,2130479,53840,0.3123,0.0079,2.5271%,1.3460,1805055,33.5263,45.1263,20000052,3201043,6.2480,1067816,24918,0.3336,0.0078,2.3335%,1.2459,858450,34.4510,42.9224
int,int_16_trace,128.2670030593872,Pass,217.72552299499512,40000031,19002465,2.1050,6733574,325011,0.3544,0.0171,4.8267%,8.1253,7284591,22.4134,182.1146,20000031,8150209,2.4539,3364149,168450,0.4128,0.0207,5.0072%,8.4225,3622888,21.5072,181.1441
int,int_3_trace,96.88034057617188,Pass,215.46584725379944,40000052,7066304,5.6607,4722773,35272,0.6684,0.0050,0.7468%,0.8818,1008519,28.5926,25.2129,20000052,3575747,5.5933,2249610,19797,0.6291,0.0055,0.8800%,0.9898,495526,25.0304,24.7762
int,int_13_trace,32.30572509765625,Pass,187.95512104034424,40000052,6237898,6.4124,4243961,36991,0.6804,0.0059,0.8716%,0.9248,1064785,28.7850,26.6196,20000052,3060787,6.5343,2111572,17419,0.6899,0.0057,0.8249%,0.8709,517035,29.6822,25.8517
int,int_4_trace,188.2430238723755,Pass,331.5119733810425,59999657,14565894,4.1192,7683892,282360,0.5275,0.0194,3.6747%,4.7060,6038569,21.3861,100.6434,30999657,7314012,4.2384,4061423,142182,0.5553,0.0194,3.5008%,4.5866,3024373,21.2711,97.5615
int,int_7_trace,128.17397212982178,Pass,225.80968594551086,40000048,14802358,2.7023,5944145,233431,0.4016,0.0158,3.9271%,5.8358,5381613,23.0544,134.5402,20000048,6359615,3.1449,3000751,113897,0.4718,0.0179,3.7956%,5.6948,2512217,22.0569,125.6105
int,int_25_trace,169.04896354675293,Pass,228.2800498008728,40000052,8089981,4.9444,2766410,75514,0.3420,0.0093,2.7297%,1.8878,2477404,32.8072,61.9350,20000052,4644487,4.3062,1541724,68466,0.3319,0.0147,4.4409%,3.4233,2006938,29.3129,100.3466
int,int_10_trace,204.85591316223145,Pass,336.2490451335907,60000052,9673683,6.2024,7032592,32181,0.7270,0.0033,0.4576%,0.5363,877935,27.2812,14.6322,30000052,4472195,6.7081,3499163,15363,0.7824,0.0034,0.4390%,0.5121,353287,22.9960,11.7762
int,int_19_trace,184.28955841064453,Pass,235.42210793495178,40000052,8021952,4.9863,5852871,33928,0.7296,0.0042,0.5797%,0.8482,1436022,42.3256,35.9005,20000052,3785747,5.2830,2929049,13244,0.7737,0.0035,0.4522%,0.6622,604591,45.6502,30.2295
int,int_18_trace,108.31880569458008,Pass,273.6017701625824,39999864,10822733,3.6959,9457814,35003,0.8739,0.0032,0.3701%,0.8751,1517661,43.3580,37.9417,20999864,5172666,4.0598,4985263,15460,0.9638,0.0030,0.3101%,0.7362,606994,39.2622,28.9047
int,int_15_trace,98.1560001373291,Pass,361.734982252121,70000157,18505236,3.7827,9192864,33514,0.4968,0.0018,0.3646%,0.4788,1848008,55.1414,26.4001,35000157,9308065,3.7602,4669511,31756,0.5017,0.0034,0.6801%,0.9073,1472674,46.3747,42.0762
int,int_36_trace,201.8018684387207,Pass,316.72170639038086,53761949,35666941,1.5073,7755130,217998,0.2174,0.0061,2.8110%,4.0549,9877594,45.3105,183.7283,27761949,15481586,1.7932,4116890,108858,0.2659,0.0070,2.6442%,3.9211,4450405,40.8827,160.3059
int,int_23_trace,182.35865116119385,Pass,251.69490599632263,40000052,18507313,2.1613,5329093,139295,0.2879,0.0075,2.6139%,3.4824,6336006,45.4862,158.3999,20000052,8603665,2.3246,2669216,67286,0.3102,0.0078,2.5208%,3.3643,2704024,40.1870,135.2008
int,int_9_trace,152.5840139389038,Pass,225.57603406906128,40000050,14351209,2.7872,5800876,194781,0.4042,0.0136,3.3578%,4.8695,4543760,23.3275,113.5939,20000050,6033454,3.3149,2893544,93110,0.4796,0.0154,3.2179%,4.6555,2112812,22.6916,105.6403
int,int_1_trace,92.84952068328857,Pass,179.43614101409912,30000052,17936205,1.6726,5301134,294399,0.2956,0.0164,5.5535%,9.8133,14056936,47.7479,468.5637,15000052,8534343,1.7576,2642836,145456,0.3097,0.0170,5.5038%,9.6970,6618703,45.5031,441.2453
int,int_28_trace,185.9219560623169,Pass,200.32150721549988,40000052,8459793,4.7283,4006233,146982,0.4736,0.0174,3.6688%,3.6745,3712007,25.2548,92.8001,20000052,4108393,4.8681,1994428,68750,0.4855,0.0167,3.4471%,3.4375,1767462,25.7085,88.3729
int,int_5_trace,138.47165870666504,Pass,214.49782299995422,30000052,6651431,4.5103,2565027,85651,0.3856,0.0129,3.3392%,2.8550,3097648,36.1659,103.2548,15000052,3316396,4.5230,1297750,42168,0.3913,0.0127,3.2493%,2.8112,1554099,36.8549,103.6062
int,int_29_trace,181.88746547698975,Pass,175.2864465713501,40000052,16050302,2.4922,4048870,501909,0.2523,0.0313,12.3963%,12.5477,12203319,24.3138,305.0826,20000052,7761774,2.5767,2031315,244721,0.2617,0.0315,12.0474%,12.2360,5870457,23.9884,293.5221
int,int_20_trace,187.00185585021973,Pass,234.4219331741333,60000051,17378051,3.4526,9561405,169149,0.5502,0.0097,1.7691%,2.8191,5349576,31.6264,89.1595,30000051,7192995,4.1707,4877083,80560,0.6780,0.0112,1.6518%,2.6853,2255848,28.0021,75.1948
int,int_8_trace,137.59827327728271,Pass,166.42302989959717,40000052,16334261,2.4488,5678944,288576,0.3477,0.0177,5.0815%,7.2144,6649412,23.0422,166.2351,20000052,6544408,3.0561,2813189,131417,0.4299,0.0201,4.6715%,6.5708,2939522,22.3679,146.9757
int,int_30_trace,182.9177484512329,Pass,155.2397494316101,40000052,16364048,2.4444,4219863,521884,0.2579,0.0319,12.3673%,13.0471,12475380,23.9045,311.8841,20000052,7952578,2.5149,2099953,253640,0.2641,0.0319,12.0784%,12.6820,6037876,23.8049,301.8930
int,int_17_trace,128.60758018493652,Pass,168.18761157989502,39999987,16630368,2.4052,6659971,255972,0.4005,0.0154,3.8434%,6.3993,5864377,22.9102,146.6095,20999987,6691348,3.1384,3432362,119627,0.5130,0.0179,3.4853%,5.6965,2630272,21.9873,125.2511
int,int_24_trace,145.24023818969727,Pass,210.75946927070618,40000051,14575551,2.7443,8385203,22650,0.5753,0.0016,0.2701%,0.5662,2691771,118.8420,67.2942,20000051,6920939,2.8898,4599578,9644,0.6646,0.0014,0.2097%,0.4822,1171876,121.5135,58.5937
int,int_11_trace,203.19092559814453,Pass,207.3451247215271,60000052,16565909,3.6219,4130584,252356,0.2493,0.0152,6.1095%,4.2059,9158351,36.2914,152.6391,30000052,8289301,3.6191,2064453,127619,0.2491,0.0154,6.1817%,4.2540,4627734,36.2621,154.2575
int,int_34_trace,112.3776216506958,Pass,123.90536046028137,40000052,11174604,3.5795,6380286,122813,0.5710,0.0110,1.9249%,3.0703,5660656,46.0917,141.5162,20000052,4948130,4.0419,3101677,63963,0.6268,0.0129,2.0622%,3.1981,2552654,39.9083,127.6324
