Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
int,int_33_trace,310.41816425323486,Pass,521.5027639865875,110000052,54212192,2.0291,16062450,878783,0.2963,0.0162,5.4710%,7.9889,42540782,48.4087,386.7342,55000052,26259627,2.0945,7710997,449787,0.2936,0.0171,5.8331%,8.1779,20560400,45.7114,373.8251
int,int_22_trace,96.68442058563232,Pass,268.7488887310028,40000052,23128965,1.7294,6671960,215859,0.2885,0.0093,3.2353%,5.3965,15759085,73.0064,393.9766,20000052,11435064,1.7490,3314359,108124,0.2898,0.0095,3.2623%,5.4062,7791228,72.0583,389.5604
int,int_27_trace,219.70562553405762,Pass,227.41166853904724,40000052,6375721,6.2738,1891315,34950,0.2966,0.0055,1.8479%,0.8737,1149450,32.8884,28.7362,20000052,2957746,6.7619,940632,14923,0.3180,0.0050,1.5865%,0.7461,511841,34.2988,25.5920
int,int_0_trace,137.11144542694092,Pass,198.45952463150024,40000041,14701131,2.7209,6223265,205309,0.4233,0.0140,3.2991%,5.1327,10015750,48.7838,250.3935,20000041,6524639,3.0653,3076555,100309,0.4715,0.0154,3.2604%,5.0154,4294649,42.8142,214.7320
int,int_31_trace,118.0513105392456,Pass,203.69300246238708,40000052,4697945,8.5144,4773947,33645,1.0162,0.0072,0.7048%,0.8411,645702,19.1916,16.1425,20000052,2233916,8.9529,2359187,12716,1.0561,0.0057,0.5390%,0.6358,245072,19.2727,12.2536
int,int_12_trace,204.59925079345703,Pass,388.7872083187103,59999603,18454516,3.2512,6357220,27398,0.3445,0.0015,0.4310%,0.4566,1026482,37.4656,17.1081,30999603,4969473,6.2380,4522132,26172,0.9100,0.0053,0.5788%,0.8443,944903,36.1036,30.4811
int,int_6_trace,130.25432968139648,Pass,191.04962611198425,30000052,7614002,3.9401,3119970,88751,0.4098,0.0117,2.8446%,2.9584,3927712,44.2554,130.9235,15000052,3754171,3.9956,1567043,43259,0.4174,0.0115,2.7605%,2.8839,1942299,44.8993,129.4862
int,int_35_trace,119.88736820220947,Pass,196.59906268119812,40000048,11505209,3.4767,5671843,98544,0.4930,0.0086,1.7374%,2.4636,5353528,54.3263,133.8380,20000048,5550379,3.6034,2842811,46757,0.5122,0.0084,1.6447%,2.3378,2516084,53.8119,125.8039
int,int_14_trace,177.29002475738525,Pass,225.3232181072235,39999640,6990422,5.7221,7635435,15865,1.0923,0.0023,0.2078%,0.3966,403223,25.4159,10.0807,20999640,3398714,6.1787,3974167,6804,1.1693,0.0020,0.1712%,0.3240,155764,22.8930,7.4175
int,int_2_trace,94.08823490142822,Pass,169.36442852020264,30000052,16594996,1.8078,5366311,198240,0.3234,0.0119,3.6942%,6.6080,12556276,63.3388,418.5418,15000052,7696484,1.9489,2681980,98086,0.3485,0.0127,3.6572%,6.5390,5714195,58.2570,380.9450
int,int_21_trace,91.63193035125732,Pass,209.192706823349,40000052,46430302,0.8615,9059172,966053,0.1951,0.0208,10.6638%,24.1513,41551685,43.0118,1038.7908,20000052,22840627,0.8756,4504449,495476,0.1972,0.0217,10.9997%,24.7737,20368161,41.1083,1018.4054
int,int_32_trace,317.2076416015625,Pass,526.5344007015228,110000052,86305978,1.2745,12636052,765057,0.1464,0.0089,6.0546%,6.9551,74230805,97.0265,674.8252,55000052,37976425,1.4483,6322521,377771,0.1665,0.0099,5.9750%,6.8686,32008519,84.7300,581.9725
int,int_26_trace,197.17267227172852,Pass,219.3379921913147,40000052,6833015,5.8539,2130479,54394,0.3118,0.0080,2.5531%,1.3598,1819083,33.4427,45.4770,20000052,3204036,6.2421,1067816,25115,0.3333,0.0078,2.3520%,1.2557,861902,34.3182,43.0950
int,int_16_trace,128.2670030593872,Pass,221.90784978866577,40000031,19007346,2.1045,6733574,325021,0.3543,0.0171,4.8269%,8.1255,7289148,22.4267,182.2286,20000031,8155090,2.4525,3364149,168460,0.4125,0.0207,5.0075%,8.4230,3627445,21.5330,181.3720
int,int_3_trace,96.88034057617188,Pass,220.82427525520325,40000052,7066304,5.6607,4722773,35272,0.6684,0.0050,0.7468%,0.8818,1008519,28.5926,25.2129,20000052,3575747,5.5933,2249610,19797,0.6291,0.0055,0.8800%,0.9898,495526,25.0304,24.7762
int,int_13_trace,32.30572509765625,Pass,193.08801317214966,40000052,6237898,6.4124,4243961,36991,0.6804,0.0059,0.8716%,0.9248,1064785,28.7850,26.6196,20000052,3060787,6.5343,2111572,17419,0.6899,0.0057,0.8249%,0.8709,517035,29.6822,25.8517
int,int_4_trace,188.2430238723755,Pass,326.54642057418823,59999657,13961338,4.2976,7683892,238378,0.5504,0.0171,3.1023%,3.9730,5259022,22.0617,87.6509,30999657,6973613,4.4453,4061423,119100,0.5824,0.0171,2.9325%,3.8420,2601584,21.8437,83.9230
int,int_7_trace,128.17397212982178,Pass,222.15428137779236,40000048,14771507,2.7079,5944145,231538,0.4024,0.0157,3.8952%,5.7884,5348360,23.0993,133.7088,20000048,6348605,3.1503,3000751,113004,0.4727,0.0178,3.7659%,5.6502,2499502,22.1187,124.9748
int,int_25_trace,169.04896354675293,Pass,222.91520619392395,40000052,7680953,5.2077,2766410,52898,0.3602,0.0069,1.9122%,1.3224,1996197,37.7367,49.9049,20000052,4235459,4.7221,1541724,45850,0.3640,0.0108,2.9739%,2.2925,1525731,33.2766,76.2864
int,int_10_trace,204.85591316223145,Pass,333.21932911872864,60000052,9673683,6.2024,7032592,32181,0.7270,0.0033,0.4576%,0.5363,877935,27.2812,14.6322,30000052,4472195,6.7081,3499163,15363,0.7824,0.0034,0.4390%,0.5121,353287,22.9960,11.7762
int,int_19_trace,184.28955841064453,Pass,232.14069819450378,40000052,8021952,4.9863,5852871,33928,0.7296,0.0042,0.5797%,0.8482,1436022,42.3256,35.9005,20000052,3785747,5.2830,2929049,13244,0.7737,0.0035,0.4522%,0.6622,604591,45.6502,30.2295
int,int_18_trace,108.31880569458008,Pass,264.74842643737793,39999864,10832445,3.6926,9457814,34927,0.8731,0.0032,0.3693%,0.8732,1528290,43.7567,38.2074,20999864,5180709,4.0535,4985263,15680,0.9623,0.0030,0.3145%,0.7467,617019,39.3507,29.3820
