Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
int,int_33_trace,310.41816425323486,Pass,506.00328493118286,110000052,54242525,2.0279,16062450,878523,0.2961,0.0162,5.4694%,7.9866,42543053,48.4257,386.7548,55000052,26271395,2.0935,7710997,449539,0.2935,0.0171,5.8298%,8.1734,20554547,45.7236,373.7187
int,int_22_trace,96.68442058563232,Pass,253.81750655174255,40000052,23128965,1.7294,6671960,215859,0.2885,0.0093,3.2353%,5.3965,15759085,73.0064,393.9766,20000052,11435064,1.7490,3314359,108124,0.2898,0.0095,3.2623%,5.4062,7791228,72.0583,389.5604
int,int_27_trace,219.70562553405762,Pass,216.76279640197754,40000052,6375944,6.2736,1891315,35044,0.2966,0.0055,1.8529%,0.8761,1152065,32.8748,28.8016,20000052,2956472,6.7648,940632,14955,0.3182,0.0051,1.5899%,0.7477,511236,34.1850,25.5617
int,int_0_trace,137.11144542694092,Pass,188.06011152267456,40000041,14701131,2.7209,6223265,205309,0.4233,0.0140,3.2991%,5.1327,10015750,48.7838,250.3935,20000041,6524639,3.0653,3076555,100309,0.4715,0.0154,3.2604%,5.0154,4294649,42.8142,214.7320
int,int_31_trace,118.0513105392456,Pass,195.09545183181763,40000052,4697945,8.5144,4773947,33645,1.0162,0.0072,0.7048%,0.8411,645702,19.1916,16.1425,20000052,2233916,8.9529,2359187,12716,1.0561,0.0057,0.5390%,0.6358,245072,19.2727,12.2536
int,int_12_trace,204.59925079345703,Pass,375.31732273101807,59999603,18454516,3.2512,6357220,27398,0.3445,0.0015,0.4310%,0.4566,1026482,37.4656,17.1081,30999603,4969473,6.2380,4522132,26172,0.9100,0.0053,0.5788%,0.8443,944903,36.1036,30.4811
int,int_6_trace,130.25432968139648,Pass,184.77575254440308,30000052,7614002,3.9401,3119970,88751,0.4098,0.0117,2.8446%,2.9584,3927712,44.2554,130.9235,15000052,3754171,3.9956,1567043,43259,0.4174,0.0115,2.7605%,2.8839,1942299,44.8993,129.4862
int,int_35_trace,119.88736820220947,Pass,188.3062288761139,40000048,11505105,3.4767,5671843,98558,0.4930,0.0086,1.7377%,2.4639,5362233,54.4069,134.0557,20000048,5550275,3.6034,2842811,46771,0.5122,0.0084,1.6452%,2.3385,2524789,53.9819,126.2391
int,int_14_trace,177.29002475738525,Pass,212.56244230270386,39999640,6990422,5.7221,7635435,15865,1.0923,0.0023,0.2078%,0.3966,403223,25.4159,10.0807,20999640,3398714,6.1787,3974167,6804,1.1693,0.0020,0.1712%,0.3240,155764,22.8930,7.4175
int,int_2_trace,94.08823490142822,Pass,164.91482400894165,30000052,16603779,1.8068,5366311,198038,0.3232,0.0119,3.6904%,6.6013,12570312,63.4742,419.0097,15000052,7702058,1.9475,2681980,98014,0.3482,0.0127,3.6545%,6.5342,5720300,58.3621,381.3520
int,int_21_trace,91.63193035125732,Pass,200.75843334197998,40000052,46437161,0.8614,9059172,966011,0.1951,0.0208,10.6633%,24.1502,41560537,43.0228,1039.0121,20000052,22847486,0.8754,4504449,495434,0.1972,0.0217,10.9988%,24.7716,20377013,41.1296,1018.8480
int,int_32_trace,317.2076416015625,Pass,510.62393736839294,110000052,86305978,1.2745,12636052,765057,0.1464,0.0089,6.0546%,6.9551,74230805,97.0265,674.8252,55000052,37976425,1.4483,6322521,377771,0.1665,0.0099,5.9750%,6.8686,32008519,84.7300,581.9725
int,int_26_trace,197.17267227172852,Pass,210.62152981758118,40000052,6819549,5.8655,2130479,53631,0.3124,0.0079,2.5173%,1.3408,1804786,33.6519,45.1196,20000052,3199319,6.2513,1067816,24717,0.3338,0.0077,2.3147%,1.2358,858215,34.7216,42.9106
int,int_16_trace,128.2670030593872,Pass,211.39519906044006,40000031,19009622,2.1042,6733574,325119,0.3542,0.0171,4.8283%,8.1280,7290852,22.4252,182.2712,20000031,8157366,2.4518,3364149,168558,0.4124,0.0207,5.0104%,8.4279,3629149,21.5306,181.4572
int,int_3_trace,96.88034057617188,Pass,212.74891686439514,40000052,7066304,5.6607,4722773,35272,0.6684,0.0050,0.7468%,0.8818,1008519,28.5926,25.2129,20000052,3575747,5.5933,2249610,19797,0.6291,0.0055,0.8800%,0.9898,495526,25.0304,24.7762
int,int_13_trace,32.30572509765625,Pass,186.4876527786255,40000052,6237898,6.4124,4243961,36991,0.6804,0.0059,0.8716%,0.9248,1064785,28.7850,26.6196,20000052,3060787,6.5343,2111572,17419,0.6899,0.0057,0.8249%,0.8709,517035,29.6822,25.8517
int,int_4_trace,188.2430238723755,Pass,317.2482895851135,59999657,14021769,4.2790,7683892,251255,0.5480,0.0179,3.2699%,4.1876,5472617,21.7811,91.2108,30999657,7069249,4.3851,4061423,130834,0.5745,0.0185,3.2214%,4.2205,2800574,21.4056,90.3421
int,int_7_trace,128.17397212982178,Pass,212.57349109649658,40000048,14760861,2.7099,5944145,230901,0.4027,0.0156,3.8845%,5.7725,5341731,23.1343,133.5431,20000048,6340688,3.1542,3000751,112572,0.4733,0.0178,3.7515%,5.6286,2495125,22.1647,124.7560
int,int_25_trace,169.04896354675293,Pass,214.49472546577454,40000052,7679736,5.2085,2766410,52921,0.3602,0.0069,1.9130%,1.3230,1993746,37.6740,49.8436,20000052,4234242,4.7234,1541724,45873,0.3641,0.0108,2.9754%,2.2936,1523280,33.2065,76.1638
int,int_10_trace,204.85591316223145,Pass,323.37472224235535,60000052,9673683,6.2024,7032592,32181,0.7270,0.0033,0.4576%,0.5363,877935,27.2812,14.6322,30000052,4472195,6.7081,3499163,15363,0.7824,0.0034,0.4390%,0.5121,353287,22.9960,11.7762
int,int_19_trace,184.28955841064453,Pass,221.65721130371094,40000052,8021952,4.9863,5852871,33928,0.7296,0.0042,0.5797%,0.8482,1436022,42.3256,35.9005,20000052,3785747,5.2830,2929049,13244,0.7737,0.0035,0.4522%,0.6622,604591,45.6502,30.2295
int,int_18_trace,108.31880569458008,Pass,252.29508566856384,39999864,10819270,3.6971,9457814,33973,0.8742,0.0031,0.3592%,0.8493,1512896,44.5323,37.8225,20999864,5170578,4.0614,4985263,14802,0.9642,0.0029,0.2969%,0.7049,604805,40.8597,28.8004
int,int_15_trace,98.1560001373291,Pass,348.83119678497314,70000157,18505236,3.7827,9192864,33514,0.4968,0.0018,0.3646%,0.4788,1848008,55.1414,26.4001,35000157,9308065,3.7602,4669511,31756,0.5017,0.0034,0.6801%,0.9073,1472674,46.3747,42.0762
int,int_36_trace,201.8018684387207,Pass,301.796085357666,53761949,35580160,1.5110,7755130,214658,0.2180,0.0060,2.7679%,3.9927,9779670,45.5593,181.9069,27761949,15412502,1.8013,4116890,106110,0.2671,0.0069,2.5774%,3.8221,4372152,41.2040,157.4872
int,int_23_trace,182.35865116119385,Pass,230.39639973640442,40000052,18507313,2.1613,5329093,139295,0.2879,0.0075,2.6139%,3.4824,6336006,45.4862,158.3999,20000052,8603665,2.3246,2669216,67286,0.3102,0.0078,2.5208%,3.3643,2704024,40.1870,135.2008
