Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
web,web_16_trace,61.720746994018555,Pass,124.521311044693,20000052,10030330,1.9940,1486259,37076,0.1482,0.0037,2.4946%,1.8538,1323964,35.7095,66.1980,10000052,6979080,1.4329,732871,25998,0.1050,0.0037,3.5474%,2.5998,915041,35.1966,91.5036
web,web_15_trace,61.94837951660156,Pass,82.90018606185913,14999858,8171396,1.8357,2411251,91476,0.2951,0.0112,3.7937%,6.0985,2603239,28.4582,173.5509,7999858,3410519,2.3456,1229867,43939,0.3606,0.0129,3.5727%,5.4925,1100357,25.0428,137.5471
web,web_7_trace,41.589111328125,Pass,166.09943008422852,39999850,10449578,3.8279,6633962,310102,0.6349,0.0297,4.6745%,7.7526,5723701,18.4575,143.0931,20999850,5033973,4.1716,3471337,147583,0.6896,0.0293,4.2515%,7.0278,2531405,17.1524,120.5440
web,web_14_trace,235.48800468444824,Pass,298.0751221179962,70000043,19825074,3.5309,11059737,256389,0.5579,0.0129,2.3182%,3.6627,10712547,41.7824,153.0363,35000043,8556339,4.0905,5268168,99962,0.6157,0.0117,1.8975%,2.8561,4204169,42.0577,120.1190
web,web_23_trace,60.17267894744873,Pass,112.94293975830078,20000047,6339599,3.1548,3286069,23079,0.5183,0.0036,0.7023%,1.1539,811106,35.1448,40.5552,10000047,4616351,2.1662,1544231,17933,0.3345,0.0039,1.1613%,1.7933,616147,34.3583,61.6144
web,web_4_trace,107.63480854034424,Pass,210.83884382247925,39999718,13516558,2.9593,6265226,184587,0.4635,0.0137,2.9462%,4.6147,5258713,28.4891,131.4688,20999718,6449366,3.2561,3426349,88011,0.5313,0.0136,2.5687%,4.1911,2347416,26.6718,111.7832
web,web_17_trace,54.710463523864746,Pass,81.96897578239441,15000021,6203005,2.4182,2215426,25901,0.3572,0.0042,1.1691%,1.7267,1000783,38.6388,66.7188,8000021,2301504,3.4760,1069158,5985,0.4645,0.0026,0.5598%,0.7481,194531,32.5031,24.3163
web,web_10_trace,67.32332420349121,Pass,110.72267246246338,19999796,11254432,1.7771,2621960,67319,0.2330,0.0060,2.5675%,3.3660,2049367,30.4426,102.4694,10999796,3361366,3.2724,1436395,28273,0.4273,0.0084,1.9683%,2.5703,747489,26.4383,67.9548
web,web_19_trace,46.80075454711914,Pass,84.49939727783203,15000016,9707813,1.5451,2562002,90302,0.2639,0.0093,3.5247%,6.0201,2650455,29.3510,176.6968,8000016,4478561,1.7863,1380363,60174,0.3082,0.0134,4.3593%,7.5217,1395264,23.1872,174.4077
web,web_2_trace,126.7424545288086,Pass,222.29304194450378,39999746,12234240,3.2695,5842811,173667,0.4776,0.0142,2.9723%,4.3417,4630450,26.6628,115.7620,20999746,5983903,3.5094,3176039,98608,0.5308,0.0165,3.1047%,4.6957,2734984,27.7359,130.2389
web,web_3_trace,134.2002592086792,Pass,217.42121720314026,39999981,12398621,3.2262,6018442,163236,0.4854,0.0132,2.7123%,4.0809,4731494,28.9856,118.2874,20999981,5675145,3.7003,3382696,74626,0.5961,0.0131,2.2061%,3.5536,2527709,33.8717,120.3672
web,web_11_trace,43.46553611755371,Pass,57.215060234069824,10001443,11690760,0.8555,1391369,57903,0.1190,0.0050,4.1616%,5.7895,2207557,38.1251,220.7238,5001443,5161129,0.9691,674449,29985,0.1307,0.0058,4.4459%,5.9953,1041622,34.7381,208.2643
web,web_21_trace,37.0328950881958,Pass,80.35660147666931,15000054,5979248,2.5087,2614946,25911,0.4373,0.0043,0.9909%,1.7274,2102073,81.1267,140.1377,8000054,4785447,1.6717,1411368,20846,0.2949,0.0044,1.4770%,2.6057,1909845,91.6169,238.7290
web,web_24_trace,80.5669527053833,Pass,87.76353859901428,14999923,8442950,1.7766,1985890,30684,0.2352,0.0036,1.5451%,2.0456,930775,30.3342,62.0520,7999923,4035258,1.9825,1067447,14552,0.2645,0.0036,1.3633%,1.8190,421964,28.9970,52.7460
